證券代號,證券名稱,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
"0050","元大台灣50","13571143","2705315142","199.40","200.00","198.70","199.00","1.5500","16136"
"0051","元大中型100","99272","8193949","83.20","83.20","82.10","82.15","-0.1000","347"
"0052","富邦科技","1278241","252203426","197.20","198.00","197.00","197.15","1.9500","1757"
"0053","元大電子","27608","2957325","107.10","107.70","106.90","107.30","0.9000","140"
"0055","元大MSCI金融","328186","9706879","29.60","29.68","29.50","29.55","0.0800","393"
"0056","元大高股息","20509100","785291154","38.30","38.45","38.10","38.13","-0.0300","13822"
"0057","富邦摩台","14377","2106554","146.80","146.80","146.35","146.50","1.3000","65"
"0061","元大寶滬深","2665619","55029507","20.68","20.93","20.26","20.47","0.1900","928"
"006203","元大MSCI台灣","8651","810059","94.10","94.10","93.40","93.80","0.9500","97"
"006204","永豐臺灣加權","6467","763059","118.10","118.20","117.95","117.95","0.5000","108"
"006205","富邦上証","1893781","66404031","35.16","35.59","34.52","34.86","0.4100","652"
"006206","元大上證50","540238","17877532","33.33","33.62","32.52","32.80","0.1500","318"
"006207","復華滬深","797916","21458560","26.92","27.05","26.36","26.62","0.4200","174"
"006208","富邦台50","11514787","1342936796","116.45","116.90","116.35","116.45","1.0500","14357"
"00625K","富邦上証+R","6000","47340","7.89","7.89","7.89","7.89","0.0000","2"
"00631L","元大台灣50正2","7620038","1942857268","256.10","257.20","252.50","254.15","2.5000","7087"
"00632R","元大台灣50反1","156974160","502018008","3.19","3.22","3.18","3.21","-0.0100","6280"
"00633L","富邦上証正2","27326877","1203679032","44.80","45.80","42.49","43.27","0.6400","5058"
"00634R","富邦上証反1","1878299","7175998","3.84","3.90","3.79","3.88","-0.0400","145"
"00635U","期元大S&P黃金","751297","23304733","31.04","31.08","30.96","30.97","0.4200","555"
"00636","國泰中國A50","6850526","166202022","24.59","24.74","23.84","24.08","0.2500","1581"
"00636K","國泰中國A50+U","200","1494","7.47","7.47","7.47","7.47","0.1100","2"
"00637L","元大滬深300正2","238815316","4233025939","18.13","18.38","17.10","17.42","0.2600","29478"
"00638R","元大滬深300反1","2484351","20009495","8.12","8.19","7.93","8.13","-0.1100","309"
"00639","富邦深100","5817166","75784297","13.16","13.25","12.79","12.95","0.2300","1337"
"00640L","富邦日本正2","1121988","60196720","53.95","54.00","53.30","53.45","-0.1500","283"
"00641R","富邦日本反1","275501","1675628","6.05","6.11","6.05","6.11","0.0300","48"
"00642U","期元大S&P石油","2808730","47446141","16.94","16.95","16.84","16.87","-0.0500","608"
"00643","群益深証中小","18349552","260874171","14.35","14.39","14.04","14.15","0.1400","984"
"00643K","群益深証中小+R","1000","3160","3.16","3.16","3.16","3.16","0.0000","1"
"00645","富邦日本","1855701","70537376","38.12","38.13","37.90","37.94","-0.1800","375"
"00646","元大S&P500","7098197","425841151","60.40","60.40","59.90","59.95","0.0500","2993"
"00647L","元大S&P500正2","171703","17423161","101.60","101.65","101.30","101.45","1.1000","212"
"00648R","元大S&P500反1","5849199","29761096","5.10","5.10","5.08","5.08","-0.0400","157"
"00650L","復華香港正2","38769050","522826643","13.80","13.85","13.03","13.27","0.1700","3874"
"00651R","復華香港反1","1457088","10346294","7.13","7.21","7.03","7.18","-0.0600","226"
"00652","富邦印度","577609","22130541","38.54","38.54","38.15","38.26","-0.3200","428"
"00653L","富邦印度正2","322556","19586199","61.10","61.20","60.20","60.65","-0.4500","266"
"00654R","富邦印度反1","159000","1028400","6.46","6.48","6.45","6.47","0.0100","20"
"00655L","國泰中國A50正2","15203584","457763417","30.60","31.10","28.93","29.51","0.4800","2608"
"00656R","國泰中國A50反1","832373","5953088","7.10","7.28","7.06","7.23","-0.0800","127"
"00657","國泰日經225","62913","2904995","46.27","46.27","46.07","46.07","0.1100","80"
"00657K","國泰日經225+U","200","2892","14.46","14.46","14.46","14.46","0.1200","2"
"00660","元大歐洲50","14183","497031","35.08","35.10","35.05","35.10","0.3900","104"
"00661","元大日經225","285068","14334128","50.50","50.70","50.15","50.25","0.2000","198"
"00662","富邦NASDAQ","2501481","218403356","87.45","87.50","87.20","87.20","0.6500","1331"
